Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Movies_TV_feature_count,Oscars_won
I Care 'Bout You,MILESTONE,8/30/1997,88,23,20,-1,0,0
Here Without You,3 DOORS DOWN,8/30/2003,64,5,51,69,0,0
Bigger Than My Body,JOHN MAYER,8/30/2003,66,33,20,57,0,0
Wave On Wave,PAT GREEN,8/30/2003,77,39,20,53,0,0
Rain On Me,ASHANTI,8/30/2003,78,7,20,37,0,0
Roun' The Globe,NAPPY ROOTS,8/30/2003,97,96,4,26,0,0
Everybody Wants To Go To Heaven,KENNY CHESNEY,8/30/2008,41,41,19,46,0,0
BB Good,JONAS BROTHERS,8/30/2008,88,88,1,36,0,0
Real,GOO GOO DOLLS,8/30/2008,92,92,1,21,0,0
Warrior,NELLY,8/30/2008,96,96,1,21,0,0
Something Special,COLBIE CAILLAT,8/30/2008,98,98,1,-1,0,0
Best Mistake,ARIANA GRANDE featuring BIG SEAN,9/13/2014,94,94,1,-1,0,0
Shell Shocked,"JUICY J, WIZ KHALIFA &amp; TY DOLLA $IGN featuring KILL THE NOIS",8/30/2014,84,84,2,-1,0,0
Hookah,TYGA featuring YOUNG THUG,8/30/2014,94,85,11,-1,0,0
Later On,THE SWON BROTHERS,8/30/2014,100,86,9,47,0,0
The Three Bells,DICK FLOOD,8/31/1959,84,23,8,-1,0,0
Suzy Baby,BOBBY VEE,8/31/1959,87,77,4,-1,0,0
Betty My Angel,JERRY FULLER,8/31/1959,90,90,2,-1,0,0
Sweet Bird Of Youth,NAT KING COLE,8/31/1959,96,96,2,3,0,0
The Battle Hymn Of The Republic,THE MORMON TABERNACLE CHOIR,8/31/1959,102,13,17,0,0,0
In The Mood,EUGENE FIELDS,8/31/1959,104,4,22,-1,0,0
Where,THE PLATTERS,8/31/1959,108,44,10,9,0,0
Teen Beat,SANDY NELSON,8/31/1959,109,4,17,10,1,0
Deck Of Cards,WINK MARTINDALE,8/31/1959,110,7,19,35,0,0
A Worried Man,THE KINGSTON TRIO,8/31/1959,112,20,13,23,0,0
Come On And Get Me,FABIAN,8/31/1959,113,29,9,1,0,0
The Battle Of Kookamonga,HOMER AND JETHRO,8/31/1959,114,14,11,13,0,0
I'm Confessin' (That I Love You),FRANK IFIELD,9/7/1963,97,58,7,-1,0,0
"That Sunday, That Summer",NAT KING COLE,8/31/1963,97,12,13,30,0,0
Faded Love,PATSY CLINE,8/31/1963,98,96,7,33,0,0
Betty In Bermudas,THE DOVELLS,8/31/1963,99,50,7,5,0,0
"I Call It Pretty Music, But The Old People Call It The Blues",LITTLE STEVIE WONDER,8/31/1963,101,101,1,6,0,0
Gee What A Guy,YVONNE CAROLL AND THE ROULETTES,9/14/1963,115,115,1,-1,0,0
"Hello Heartache, Goodbye Love",LITTLE PEGGY MARCH,8/31/1963,120,26,10,-1,0,0
I Can't Stay Mad At You,SKEETER DAVIS,8/31/1963,125,7,14,24,0,0
I'm Coming Back To You,JULIE LONDON,8/31/1963,130,128,2,10,0,0
To Wait For Love,HERB ALPERT,8/31/1968,63,51,6,7,0,0
"Hey, Western Union Man",JERRY BUTLER,8/31/1968,83,16,13,22,0,0
Naturally Stoned,THE AVANT-GARDE,8/31/1968,100,40,10,-1,0,0
Street Fighting Man,THE ROLLING STONES,8/31/1968,109,48,7,49,3,0
Message From Maria,JOE SIMON,8/31/1968,111,75,8,-1,0,0
My Special Angels,THE VOGUES,8/31/1968,112,7,11,-1,0,0
Don't Let Him Take Your Love,JIMMY RUFFIN,8/31/1968,113,113,3,7,0,0
Shape Of Things To Come,MAX FROST AND THE TROOPERS,8/31/1968,114,22,13,19,0,0
You've Had Better Times,PETER AND GORDON,8/31/1968,118,118,1,-1,0,0
Suzie Q (Part1),CREEDENCE CLEARWATER REVIVAL,8/31/1968,120,11,13,-1,0,0
Love Heals,COLOURS,8/31/1968,121,106,7,-1,0,0
"The Biplane, Ever More",THE IRISH ROVERS,8/31/1968,126,91,7,10,0,0
Door To Your Heart,DRAMATICS,8/17/1974,102,62,7,30,0,0
Love Me For A Reason,OSMONDS,8/31/1974,83,10,13,23,0,0
Jazzman,CAROLE KING,8/31/1974,86,2,16,40,0,0
You Got To Be The One,CHI-LITES,8/31/1974,87,83,3,20,0,0
Carefree Highway,GORDON LIGHTFOOT,8/31/1974,88,10,14,50,1,0
Up For The Down Stroke,PARLIAMENT,8/31/1974,90,63,9,29,0,0
Skin Tight,THE OHIO PLAYERS,8/31/1974,101,13,12,-1,0,0
Higher Plane,KOOL AND THE GANG,8/31/1974,105,37,9,14,0,0
Blood Is Thicker Than Water,WILLIAM DeVAUGHN,8/31/1974,109,43,10,-1,0,0
Suzie Girl,REDBONE,8/31/1974,110,108,3,8,0,0
Midnight Rocks,AL STEWART,8/31/1980,69,24,13,20,0,0
Rebels Are We,CHIC,8/31/1980,77,61,6,19,0,0
Leaving L.A.,DELIVERANCE,8/31/1980,81,71,5,-1,0,0
Whip It,DEVO,8/31/1980,85,14,25,67,0,0
Lola (Live),KINKS,8/31/1980,88,81,6,51,0,0
My Guy / My Girl,AMII STEWART &amp; JOHNNY BRISTOL,8/31/1980,89,63,8,-1,0,0
The Way You Do The Things You Do / My Girl,DARYL HALL &amp; JOHN OATES,8/31/1985,53,20,11,-1,0,0
Sunset Grill,DON HENLEY,8/31/1985,60,22,14,38,0,0
So In Love,ORCHESTRAL MANOEUVRES IN THE DARK,8/31/1985,86,26,17,53,2,0
Test Of Time,ROMANTICS,8/31/1985,90,71,6,27,0,0
Weird Science,OINGO BOINGO,8/31/1985,93,45,12,55,1,0
Straight To Your Heart,BAD ENGLISH,8/31/1991,90,42,13,36,0,0
She's Gone (Lady),STEELHEART,8/31/1991,91,59,8,-1,0,0
Gonna Catch You,LONNIE GORDON,8/31/1991,96,79,6,31,0,0
The Devil Came Up To Michigan,K.M.C. KRU,8/31/1991,97,46,14,10,0,0
Everyotherday,OR-N-MORE featuring FATHER M.C.,8/31/1991,98,46,8,-1,0,0
Hit Me Off,NEW EDITION,8/31/1996,3,3,20,40,0,0
If Your Girl Only Knew,AALIYAH,8/31/1996,34,11,20,-1,0,0
Key West Intermezzo (I Saw You First),JOHN MELLENCAMP,8/31/1996,47,14,24,43,0,0
Let's Make A Night To Remember,BRYAN ADAMS,8/31/1996,68,24,23,36,0,0
Dirty South,GOODIE MOB,8/31/1996,92,92,3,37,0,0
Guys Do It All The Time,MINDY McCREADY,8/31/1996,94,72,9,37,0,0
Can You Feel Me,DRU DOWN,8/31/1996,95,92,5,41,0,0
Hey Ma,"CAM'RON feat JULEZ SANTANA, FREEKEY ZEKEY &amp; TOYA",8/31/2002,50,3,21,-1,0,0
Underneath It All,NO DOUBT featuring LADY SAW,8/31/2002,64,3,30,-1,1,0
Goodbye To You,MICHELLE BRANCH,8/31/2002,69,21,20,55,1,0
Oh Yeah!,"BIG TYMERS feat TATEEZE, BOO &amp; GOTTI",8/31/2002,95,46,18,-1,0,0
Applause,LADY GAGA,8/31/2013,6,4,23,64,1,0
That's My Kind Of Night,LUKE BRYAN,8/31/2013,16,15,21,68,0,0
This Is Gospel,PANIC! AT THE DISCO,8/31/2013,87,87,1,75,0,0
We Own The Night,THE WANTED,8/31/2013,94,94,1,50,0,0
Your Side Of The Bed,MAC DAVIS,5/5/1973,95,88,6,8,0,0
Bruises,TRAIN featuring ASHLEY MONROE,8/31/2013,97,79,8,-1,0,0
Sweet Someone,EDDIE AND BETTY,6/22/1959,101,87,3,-1,0,0
Crackin' Up,BO DIDDLEY,7/6/1959,98,62,5,29,0,0
Without You (There Is Nothing),RAY CHARLES,6/15/1963,118,29,8,-1,0,0
Be True To Yourself,BOBBY VEE,6/15/1963,116,34,8,-1,0,0
It's My Party,LESLEY GORE,5/11/1963,60,1,13,46,2,0
Cottonfields,THE BEACH BOYS,5/16/1970,103,103,2,-1,0,0
Will Power,THE COOKIES,7/6/1963,81,72,5,-1,0,0
Jack The Ripper,LINK WRAY AND HIS RAY MEN,5/4/1963,103,64,14,7,1,0
Anthony And Cleopatra Theme,FERRANTE AND TEICHER,6/29/1963,87,83,6,-1,0,0
Scarlet O'Hara,BOBBY GREGG,7/6/1963,130,112,5,-1,0,0
Green Monkey,GARNELL COOPER AND THE KINFOLKS,8/3/1963,132,132,1,-1,0,0
Never Give You Up,JERRY BUTLER,5/4/1968,91,20,14,38,0,0
I'm A Midnight Mover,WILSON PICKETT,6/22/1968,95,24,7,12,0,0
MacArthur Park,DONNA SUMMER,9/9/1978,85,1,20,43,2,0
Here I Am Baby,THE MARVELETTES,5/25/1968,103,44,11,19,0,0
Can't You See Me Cry,THE NEW COLONY SIX,6/15/1968,90,52,8,2,0,0
"Your Time Hasn't Come Yet, Baby",ELVIS PRESLEY,6/8/1968,102,72,9,20,0,0
(The Puppet Song) Whiskey On A Sunday,THE IRISH ROVERS,6/15/1968,116,75,8,10,0,0
Snoopy For President,THE ROYAL GUARDSMEN,6/29/1968,101,85,4,7,0,0
My Name Is Jack,MANFRED MANN,7/13/1968,130,104,4,21,0,0
This Wheel's On Fire,JULIE DRISCOLL / BRIAN AUGER AND THE TRINITY,7/13/1968,125,106,4,0,0,0
You Got Style,JON AND ROBIN,7/6/1968,115,110,5,0,0,0
Who Will Answer,THE HESITATIONS,7/6/1968,118,114,3,-1,0,0
Breakin' Down The Walls Of Heartache,THE BANDWAGON,8/3/1968,115,115,1,-1,0,0
Dance Master,WILLIE HENDERSON,7/6/1974,99,73,5,-1,0,0
Train Of Thought,CHER,5/25/1974,75,27,11,14,0,0
Ma He's Making Eyes At Me,LENA ZAVARONI,7/6/1974,104,91,5,4,0,0
Dancin' In The Streets,TERI DeSARIO with K.C.,6/29/1980,84,66,6,-1,0,0
Never Givin' Up,AL JARREAU,7/6/1980,106,102,5,26,0,0
This Time (I'm Giving All I Got),FRANCE JOLI,7/27/1980,106,103,2,-1,0,0
You're Good For Me,SOLOMON BURKE,10/19/1963,112,49,10,30,0,0
Take No Prisoners,PEABO BRYSON,6/29/1985,89,78,6,-1,0,0
Willie And The Hand Jive,ERIC CLAPTON,11/2/1974,78,26,9,25,0,0
Exclusivity,DAMIAN DAME,5/18/1991,97,42,12,13,0,0
Gotta Have You,STEVIE WONDER,7/20/1991,98,92,3,18,0,0
Blind Faith,THE POINTER SISTERS,11/3/1979,107,107,1,26,0,0
Higher Than Hope,DARYL BRAITHWAITE,6/1/1991,78,47,10,14,0,0
Part Of Me Part Of You,GLENN FREY,5/11/1991,83,55,13,31,0,0
Forever Amo'r,D'ZYRE,6/8/1991,87,77,9,-1,0,0
Borrowed Love,BINGO BOYS,6/29/1991,95,71,6,-1,0,0
Wrong,EVERYTHING BUT THE GIRL,6/1/1996,68,68,10,27,0,0
Say I Yi Yi,YING YANG TWINS,5/4/2002,74,56,14,51,0,0
The Heart OF Dixie,DANIELLE BRADBERY,8/3/2013,58,58,1,45,0,0
Miss Jackson,PANIC AT THE DISCO featuring LOLO,8/3/2013,68,68,1,-1,0,0
Hail To The King,AVENGED SEVENFOLD,9/7/2013,89,83,2,74,0,0
People Like Us,KELLY CLARKSON,6/1/2013,99,65,10,49,0,0
Snap Your Fingers,JOE HENDERSON,5/12/1962,114,8,13,20,0,0
I Don't Love You No More (I Don't Care About You),JIMMY NORMAN,6/9/1962,120,47,9,-1,0,0
But Not For Me,KITTY LESTER,6/16/1962,111,41,8,-1,0,0
Walk On The Wild Side (Part 1),JIMMY SMITH AND THE BIG BAND,5/12/1962,84,21,13,-1,0,0
The Crowd,ROY ORBISON,6/2/1962,85,26,10,28,0,0
West Of The Wall,TONI FISHER,5/19/1962,108,37,12,12,0,0
Cindy's Birthday,JOHNNY CRAWFORD,5/12/1962,89,8,13,19,0,0
Seven Day Weekend,GARY (U.S.) BONDS,6/16/1962,110,27,8,8,0,0
My Daddy Is President,LITTLE JO ANN,7/7/1962,94,67,5,0,0,0
Swingin' Gently,EARL GRANT,5/26/1962,89,44,11,17,0,0
Life's Too Short,THE LaFAYETTES,6/30/1962,119,87,6,9,0,0
Come On Baby,BRUCE CHANNEL,7/28/1962,100,98,2,-1,0,0
The Masquerade Is Over,THE FIVE SATINS,7/21/1962,119,102,3,1,0,0
Little Young Lover,THE IMPRESSIONS,6/23/1962,108,96,7,17,0,0
Goodbye Dad,THE CASTLE SISTERS,6/23/1962,114,114,1,0,0,0
You're Stronger Than Me,PATSY CLINE,7/21/1962,107,107,3,41,0,0
Time To Get Down,THE O'JAYS,5/19/1973,90,33,12,27,0,0
Goin' Home,THE OSMONDS,6/16/1973,71,36,8,7,0,0
Finder's Keepers,THE CHAIRMEN OF THE BOARD,6/9/1973,74,59,9,-1,0,0
He Did With Me,VICKI LAWRENCE,6/23/1973,97,75,7,5,0,0
Smoke Smoke Smoke (That Cigarette),COMMANDER CODY AND HIS LOST PLANET AIRMEN,7/7/1973,98,94,5,12,0,0
"Lovin', Touchin', Squeezin'",JOURNEY,7/21/1979,86,16,20,57,0,0
Totally Hot / Dancin' 'Round And 'Round,OLIVIA NEWTON-JOHN,7/28/1979,79,52,6,-1,0,0
Where Were You When I Was Falling In Love,LOBO,7/28/1979,81,23,17,38,0,0
What Cha Gonna Do With My Lovin',STEPHANIE MILLS,7/21/1979,96,22,14,35,0,0
Days Gone Down,GERRY RAFFERTY,6/2/1979,68,17,10,33,0,0
Long Live Rock,THE WHO,6/30/1979,84,54,6,24,0,0
Minute By Minute,THE DOOBIE BROTHERS,5/5/1979,67,14,14,47,0,0
Shakedown Cruise,JAY FERGUSON,5/5/1979,77,31,14,24,0,0
If I Said You Had A Beautiful Body Would You Hold It ...,BELLAMY BROTHERS,5/26/1979,90,39,11,39,0,0
D.J.,DAVID BOWIE,7/28/1979,108,106,2,35,0,0
I Need You Now,RONNIE DOVE,5/10/1969,127,93,6,2,0,0
Obscene Phone Caller,ROCKWELL,5/5/1984,79,35,14,-1,0,0
Feels So Real (Won't Let Go),PATRICE RUSHEN,6/30/1984,89,78,6,40,0,0
It Can Happen,YES,6/23/1984,85,51,7,40,0,0
She Don't Know Me,BON JOVI,5/26/1984,90,48,11,32,0,0
The Blues,RANDY NEWMAN &amp; PAUL SIMON,1/22/1983,73,51,8,-1,0,0
I Cry,FLO RIDA,10/13/2012,81,6,21,62,0,0
Just A Baby Boy,SNOOP DOGG featuring TYRESE &amp; MR. TAN,7/14/2001,99,90,4,-1,0,0
Life's What You Make It,HANNAH MONTANA,7/14/2007,25,25,4,46,0,0
Before It's Too Late (Sam And Mikaela's Theme),GOO GOO DOLLS,7/21/2007,86,86,3,-1,0,0
Go Get It,T.I.,8/4/2012,77,77,1,55,0,0
How We Do (Party),RITA ORA,6/9/2012,96,62,9,51,0,0
There Goes My Everything,JACK GREENE,1/7/1967,100,65,9,6,0,0
Don't Sleep In The Subway,PETULA CLARK,6/3/1967,76,5,10,38,1,0
Don't Go Out Into The Rain (You're Going To Melt),HERMAN'S HERMITS,6/24/1967,81,18,7,15,0,0
Pictures Of Lily,THE WHO,7/1/1967,90,51,6,28,0,0
Groovy Summertime,THE LOVE GENERATION,6/10/1967,121,74,9,-1,0,0
Devil's Angels,DAVIE ALLAN AND THE ARROWS,9/9/1967,105,105,2,13,0,0
"Theme From ""Endless Summer""",THE VENTURES,7/1/1967,134,106,6,-1,0,0
I Can't Go On Livin' Baby Without You,NINO TEMPO &amp; APRIL STEVENS,7/15/1967,130,86,4,-1,0,0
It's Such A Pretty World Today,ANDY RUSSELL,7/8/1967,123,119,5,0,0,0
Heat And Soul,THE INCREDIBLES,7/29/1967,124,122,2,-1,0,0
Would You Believe,THE TEMPESTS,9/23/1967,135,127,2,-1,0,0
Summer Day Reflection Song,DONOVAN,8/5/1967,135,135,1,25,0,0
I Wanna Be Where You Are,MICHAEL JACKSON,5/27/1972,59,16,11,49,0,0
War Song,NEIL YOUNG &amp; GRAHAM NASH,7/1/1972,81,61,6,-1,0,0
Goodbye Again,FERRANTE &amp; TEICHER,6/5/1961,117,85,5,-1,0,0
Couldn't I Just Tell You,TODD RUNDGREN,7/29/1972,96,93,2,27,0,0
Turn On Your Love Light / Lonely Weekends,JERRY LEE LEWIS,7/22/1972,98,95,3,-1,0,0
FM (No Static At All),STEELY DAN,6/3/1978,67,22,10,-1,0,0
You Don't Love Me Anymore,EDDIE RABBITT,6/24/1978,89,53,7,33,0,0
Only The Good Die Young,GLEE CAST,10/23/2010,50,50,1,37,0,0
Prove It All Night,BRUCE SPRINGSTEEN,6/10/1978,80,33,9,47,0,0
Only One Love In My Life,RONNIE MILSAP,7/1/1978,88,63,6,20,0,0
"Hot Love, Cold World",BOB WELCH,6/3/1978,75,31,10,18,0,0
Never Let Her Slip Away,ANDREW GOLD,6/17/1978,86,67,8,38,0,0
I Can't Wait Any Longer,BILL ANDERSON,7/15/1978,87,80,4,13,0,0
I'll Be True To You,THE OAK RIDGE BOYS,7/22/1978,102,102,3,22,0,0
Lovin' You Is Gonna See Me Thru,THE TOWER OF POWER,7/22/1978,108,106,3,-1,0,0
Almighty Fire (Woman Of The Future),ARETHA FRANKLIN,5/13/1978,108,103,9,-1,0,0
Big Foot,RICK DEES,8/5/1978,110,110,1,-1,0,0
Fire Woman,THE CULT,5/27/1989,84,46,11,54,0,0
Comin' Down Tonight,.38 SPECIAL,6/24/1989,83,67,7,11,0,0
Rooms On Fire,STEVIE NICKS,5/6/1989,85,16,14,53,0,0
Gonna Make It,SA-FIRE,6/24/1989,90,71,7,-1,0,0
Calling It Love,ANIMOTION,6/10/1989,91,53,9,9,0,0
Open Letter (To A Landlord),LIVING COLOUR,7/8/1989,92,82,5,29,0,0
Vow,GARBAGE,7/29/1995,97,97,2,30,0,0
Crybaby,MARIAH CAREY featuring SNOOP DOGG,6/24/2000,28,28,7,-1,0,0
Cherchez Laghost,GHOSTFACE KILLAH,8/5/2000,98,98,1,43,0,0
Take That,TORREY CARTER,6/24/2000,94,86,7,-1,0,0
Somewhere Over The Rainbow,KATHARINE McPHEE,7/15/2006,12,12,4,37,0,0
Scotty Doesn't Know,LUSTRA,7/29/2006,75,75,2,62,0,0
Who Said,HANNAH MONTANA,11/11/2006,83,83,2,45,0,0
DJ Play A Love Song,JAMIE FOXX featuring TWISTA,5/6/2006,90,45,14,-1,0,0
4:44,JAY-Z,7/29/2017,35,35,2,-1,0,0
Crying In The Club,CAMILA CABELLO,6/10/2017,47,47,9,85,0,0
A Lie,FRENCH MONTANA featuring THE WEEKND &amp; MAX B,8/5/2017,75,75,1,-1,0,0
Every Time I Hear That Song,BLAKE SHELTON,5/27/2017,79,56,11,68,0,0
Jerika,JAKE PAUL &amp; ERIKA COSTELL featuring UNCLE KADE,8/5/2017,86,86,1,-1,0,0
The Cure,LADY GAGA,5/6/2017,39,39,14,75,0,0
Rollin,CALVIN HARRIS featuring FUTURE &amp; KHALID,7/22/2017,76,76,1,-1,0,0
Element.,KENDRICK LAMAR,5/6/2017,16,16,7,78,0,0
No Complaints,METRO BOOMIN featuring OFFSET &amp; DRAKE,9/30/2017,97,97,2,-1,0,0
Friday's Child,NANCY SINATRA,7/9/1966,77,36,5,28,0,0
Little Girl,THE CRITTERS,10/21/1967,116,113,3,1,0,0
Happy Summer Days,RONNIE DOVE,6/18/1966,77,27,8,7,0,0
You Wouldn't Listen,THE IDES OF MARCH,6/4/1966,124,42,10,6,0,0
Can I Trust You,BACHELORS,7/2/1966,89,49,6,7,0,0
Whole Lotta Shakin' In My Heart,MIRACLES,6/18/1966,83,46,8,-1,0,0
Lonely Soldier,MIKE WILLIAMS,7/2/1966,130,69,6,-1,0,0
Uptight,NANCY WILSON,7/9/1966,128,84,5,6,0,0
Petticoat White (Summer Sky Blues),BOBBY VINTON,7/23/1966,106,81,6,-1,0,0
"Let Me Tell You, Babe",NAT KING COLE,9/3/1966,107,107,1,2,0,0
Sock It To 'Em J.B. (Part 1),REX GARVIN AND THE MIGHTY CRAVERS,6/25/1966,121,110,7,5,0,0
Dirty Work Going On,LITTLE JOE BLUE,7/30/1966,135,111,2,0,0,0
Take Your Love,BOBBY GOLDSBORO,7/23/1966,115,114,3,17,0,0
Takin' All I Can Get,MITCH RYDER AND THE DETROIT WHEELS,7/30/1966,100,100,2,2,0,0
Poor Dog (Who Can't Wag His Own Tail),LITTLE RICHARD,7/23/1966,129,121,3,4,0,0
Without A Song (Part),JAMES CLEVELAND AND THE CLEVELAND SINGERS,8/6/1966,129,129,1,-1,0,0
Put It Back (Where You Found It),SUE THOMPSON,8/6/1966,131,131,1,-1,0,0
Investigate,MAJOR LANCE,6/18/1966,133,133,1,5,0,0
Born To Be With You,SONNY JAMES,11/9/1968,109,81,6,9,0,0
The Killing Of Georgie (Parts 1 And 2),ROD STEWART,6/4/1977,84,30,10,-1,0,0
Lady (Put The Light On Me),BROWNSVILLE STATION,6/4/1977,98,46,10,9,0,0
Everybody Ought To Be In Love,PAUL ANKA,7/16/1977,86,75,4,-1,0,0
While I'm Alone,MAZE featuring Frankie BEVERLY,5/7/1977,107,89,14,42,0,0
I Get Lifted,LATIMORE,7/16/1977,106,104,4,9,0,0
Getaway / Magic Bird Of Fire,THE SALSOUL ORCHESTRA,7/30/1977,106,105,2,-1,0,0
Can't Stay Away,BOOTSY'S RUBBER BAND,7/9/1977,104,104,1,-1,0,0
Waiting For Your Love,TOTO,7/2/1983,90,73,6,41,0,0
Legal Tender,THE B-52'S,7/9/1983,109,81,5,39,0,0
Don't Change,INXS,7/9/1983,107,80,5,47,0,0
When You Were Mine,MITCH RYDER,7/16/1983,95,87,4,6,1,0
China,THE RED ROCKERS,5/14/1983,108,53,13,-1,0,0
I.O.U.,FREEEZ,9/24/1983,108,108,1,41,0,0
The Star Sisters (Medley),THE STAR SISTERS (STARS ON 45),8/6/1983,107,107,1,-1,0,0
Who Says Girls Can't Rock And Roll,REBECCA HALL,8/6/1983,109,109,1,-1,0,0
Scatterlings Of Africa,JULUKA,7/16/1983,110,106,4,21,0,0
Dirty Diana,MICHAEL JACKSON,5/7/1988,53,1,14,59,0,0
I Should Be So Lucky,KYLIE MINOGUE,5/7/1988,86,28,14,46,0,0
Feelings Of Forever,TIFFANY,6/11/1988,90,50,9,17,0,0
Black Leather,KINGS OF THE SUN,7/30/1988,98,98,2,-1,0,0
Coming To America,THE SYSTEM,7/9/1988,96,91,5,-1,0,0
Tomorrow People,ZIGGY MARLEY &amp; THE MELODY MAKERS,5/14/1988,89,39,13,-1,0,0
Wink,NEAL McCOY,7/16/1994,91,91,4,53,0,0
Crooklyn,CROOKLYN DODGERS featuring SPECIAL ED,5/21/1994,98,60,12,-1,0,0
Goodbye Time,BLAKE SHELTON,6/11/2005,95,73,9,38,0,0
Keg In The Closet,KENNY CHESNEY,6/4/2005,93,64,10,47,0,0
Asap,T.I.,6/18/2005,84,75,8,49,0,0
Outlaw,WAR,7/10/1982,99,94,3,24,0,0
Ballin',YOUNG JEEZY featuring LIL WAYNE,6/4/2011,57,57,2,-1,0,0
The Story Of Us,TAYLOR SWIFT,11/13/2010,41,41,1,58,0,0
Girls Talk Boys,5 SECONDS OF SUMMER,8/6/2016,68,68,1,52,0,0
Body Say,DEMI LOVATO,8/6/2016,84,84,1,67,0,0
M.I.L.F.$,FERGIE,7/23/2016,34,34,3,68,0,0
Night's On Fire,DAVID NAIL,7/9/2016,100,81,5,69,0,0
A Little More Summertime,JASON ALDEAN,10/1/2016,69,52,12,65,0,0
Childs Play,DRAKE,9/24/2016,77,77,2,69,0,0
Sex With Me,RIHANNA,9/3/2016,100,100,1,68,0,0
Switch-A-Roo,HANK BALLARD,6/19/1961,116,26,8,2,0,0
Moody River,PAT BOONE,5/1/1961,95,1,15,39,0,0
Every Beat Of My Heart,ROD STEWART,11/29/1986,83,83,6,48,0,0
Travellin' Man,RICKY NELSON,4/17/1961,108,1,17,-1,0,0
Should I,CHAD AND JEREMY,10/23/1965,128,128,1,3,0,0
Ready For Your Love,SHEP &amp; THE LIMELITES,7/10/1961,79,42,5,-1,0,0
Heart & Soul,CLEFTONES,5/15/1961,114,18,11,33,0,0
"Who Put The Bomp (In The Bomp, Bomp, Bomp)",BARRY MANN,7/24/1961,120,7,14,20,0,0
The Girl's A Devil,THE DUKAYS,5/8/1961,117,64,14,-1,0,0
What Would You Do,JIM REEVES,7/10/1961,99,73,5,-1,0,0
Does Your Chewing Gum Lose Its Flavour (On The Bedpost Over,LONNIE DONEGAN AND HIS SKIFFLE GROUP,7/24/1961,117,5,13,-1,0,0
Take A Fool's Advice,NAT KING COLE,6/19/1961,107,71,8,2,0,0
Lovedrops,MICKEY AND SYLVIA,8/7/1961,97,97,1,-1,0,0
I've Got A Lot Of Things To Do,JOHNNY BURNETTE,7/31/1961,111,109,2,12,0,0
The Taste Of A Tear,JOHNNY AND THE TOKENS,8/7/1961,112,112,1,-1,0,0
Sitting In The Park,GQ,6/15/1980,103,101,6,27,0,0
(Such An) Easy Question,ELVIS PRESLEY,6/19/1965,70,11,8,23,0,0
Mr. Tambourine Man,THE BYRDS,5/8/1965,114,1,14,60,0,0
A Little Bit Of Heaven,NATALIE COLE,9/7/1985,90,81,6,-1,0,0
Laurie (Strange Things Happen),DICKEY LEE,5/15/1965,90,14,13,13,0,0
Trains & Boats & Planes,BILLY J. KRAMER &amp; THE DAKOTAS,6/12/1965,128,47,9,-1,0,0
Seein' The Right Love Go Wrong,JACK JONES,6/5/1965,121,46,10,-1,0,0
I Can't Work No Longer,BILLY BUTLER AND THE CHANTERS,6/5/1965,134,112,3,-1,0,0
Theme From 'Harlow',BOBBY VINTON,7/3/1965,119,61,6,1,0,0
Boot-Leg,BOOKER T. &amp; THE MGs,6/5/1965,90,58,10,-1,0,0
It Ain't Me Babe,JOHNNY CASH,10/31/1964,100,58,8,52,0,0
Forget Domani,FRANK SINATRA,6/19/1965,135,78,8,-1,0,0
My Man,PEGGY LEE,2/2/1959,85,81,5,22,0,0
Yakety Axe,CHET ATKINS,6/26/1965,135,98,7,28,0,0
Around The Corner,BEN E. KING,3/21/1964,125,125,1,12,0,0
My Name Is Mud,EDDIE RAMBEAU,7/17/1965,114,112,4,1,0,0
Hallelujah,MATTHEW SCHULER,11/30/2013,40,40,2,42,0,0
I'll Feel A Whole Lot Better,THE BYRDS,7/24/1965,103,103,3,42,0,0
Moonglow & Theme From Picnic,ESTHER PHILLIPS,7/24/1965,125,115,3,16,0,0
Do The 45,THE SHARPEES,9/11/1965,134,134,1,5,0,0
Happy Feet Time,THE MONCLAIRS,7/10/1965,118,108,5,-1,0,0
You've Got To Earn It,STAPLE SINGERS,7/31/1971,99,97,2,11,0,0
Truck Drivin' Son-Of-A-Gun,DAVE DUDLEY,8/7/1965,124,124,1,31,0,0
Tiger Woman,CLAUDE KING,7/10/1965,122,110,3,0,0,0
Let Her Dance,THE BOBBY FULLER FOUR,9/18/1965,134,134,1,42,1,0
I Don't Need,IKE AND TINA TURNER,8/7/1965,134,134,1,-1,0,0
I'm Letting You Go,EDDY ARNOLD,8/7/1965,135,135,1,2,0,0
Song Of Joy,MIGUEL RIOS,6/5/1970,101,14,10,33,0,0
Gimmie Dat Ding,PIPKINS,5/23/1970,65,9,12,-1,0,0
Go Back,CRABBY APPLETON,5/9/1970,86,36,14,29,0,0
The Boys In The Band,BOYS IN THE BAND,5/30/1970,108,48,11,9,0,0
Que Sera Sera,MARY HOPKIN,7/3/1970,118,77,6,-1,0,0
Let The Music Take Your Mind,KOOL AND THE GANG,7/3/1970,95,78,6,19,0,0
A Song That Never Comes,MAMA CASS ELLIOT,7/24/1970,111,99,3,9,0,0
No Arms Can Ever Hold You,BOBBY VINTON,7/3/1970,126,93,6,-1,0,0
Let's Do It (Do It Together),THE CHAMBERS BROTHERS,5/30/1970,123,123,1,6,0,0
